127.0.0.1, 2018-10-25 20:49:52, GET, /, HTTP/1.1, 303, 0.002007
127.0.0.1, 2018-10-26 14:28:45, GET, /init/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.004911
127.0.0.1, 2018-10-26 14:28:45, GET, /init/static/js/web2py.js, HTTP/1.1, 200, 0.007784
127.0.0.1, 2018-10-26 14:28:46, GET, /init/static/images/background.jpg, HTTP/1.1, 404, 0.001735
127.0.0.1, 2018-10-26 14:28:46, GET, /init/static/images/favicon.ico, HTTP/1.1, 200, 0.002276
127.0.0.1, 2018-10-26 14:29:41, GET, /, HTTP/1.1, 200, 0.043695
127.0.0.1, 2018-10-26 14:29:41, GET, /init/static/images/background.jpg, HTTP/1.1, 404, 0.000562
127.0.0.1, 2018-10-26 14:30:01, GET, /, HTTP/1.1, 200, 0.039584
127.0.0.1, 2018-10-26 14:30:01, GET, /init/static/images/background.jpg, HTTP/1.1, 404, 0.000832
127.0.0.1, 2018-10-26 14:30:01, GET, /init/static/images/favicon.ico, HTTP/1.1, 200, 0.001326
127.0.0.1, 2018-10-26 14:30:29, GET, /init/default/user/register, HTTP/1.1, 200, 0.052942
127.0.0.1, 2018-10-26 14:30:35, GET, /init/default/user/register, HTTP/1.1, 200, 0.050518
127.0.0.1, 2018-10-26 14:30:41, GET, /init/default/index, HTTP/1.1, 200, 0.081348
127.0.0.1, 2018-10-26 14:30:41, GET, /init/static/images/background.jpg, HTTP/1.1, 404, 0.001521
127.0.0.1, 2018-10-26 14:31:45, GET, /init/default/index, HTTP/1.1, 200, 0.036252
127.0.0.1, 2018-10-26 14:31:46, GET, /init/static/images/background.jpg, HTTP/1.1, 404, 0.000953
127.0.0.1, 2018-10-26 14:31:46, GET, /init/static/images/favicon.ico, HTTP/1.1, 200, 0.001909
127.0.0.1, 2018-10-26 14:31:47, GET, /init/default/index, HTTP/1.1, 200, 0.041456
127.0.0.1, 2018-10-26 14:31:47, GET, /init/static/images/background.jpg, HTTP/1.1, 404, 0.000992
127.0.0.1, 2018-10-26 14:31:47, GET, /init/static/images/favicon.ico, HTTP/1.1, 200, 0.001972
127.0.0.1, 2018-10-26 14:31:52, GET, /init/default/index, HTTP/1.1, 200, 0.044085
127.0.0.1, 2018-10-26 14:31:52, GET, /init/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.010876
127.0.0.1, 2018-10-26 14:31:52, GET, /init/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.012658
127.0.0.1, 2018-10-26 14:31:52, GET, /init/static/js/jquery.js, HTTP/1.1, 200, 0.004351
127.0.0.1, 2018-10-26 14:31:52, GET, /init/static/css/calendar.css, HTTP/1.1, 200, 0.005234
127.0.0.1, 2018-10-26 14:31:52, GET, /init/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.009655
127.0.0.1, 2018-10-26 14:31:52, GET, /init/static/js/calendar.js, HTTP/1.1, 200, 0.011475
127.0.0.1, 2018-10-26 14:31:52, GET, /init/static/js/web2py.js, HTTP/1.1, 200, 0.003611
127.0.0.1, 2018-10-26 14:31:52, GET, /init/static/js/bootstrap.bundle.min.js, HTTP/1.1, 200, 0.003085
127.0.0.1, 2018-10-26 14:31:52, GET, /init/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.002146
127.0.0.1, 2018-10-26 14:31:52, GET, /init/static/images/background.jpg, HTTP/1.1, 404, 0.000839
127.0.0.1, 2018-10-26 14:31:52, GET, /init/static/images/favicon.ico, HTTP/1.1, 200, 0.001551
127.0.0.1, 2018-10-26 14:32:42, GET, /init/default/index, HTTP/1.1, 200, 0.036357
127.0.0.1, 2018-10-26 14:32:42, GET, /init/static/images/background.jpg, HTTP/1.1, 404, 0.000804
127.0.0.1, 2018-10-26 14:33:51, GET, /init/default/index, HTTP/1.1, 200, 0.056206
127.0.0.1, 2018-10-26 14:33:51, GET, /init/static/images/background.jpg, HTTP/1.1, 404, 0.000706
127.0.0.1, 2018-10-26 14:33:51, GET, /init/static/images/favicon.ico, HTTP/1.1, 200, 0.001534
127.0.0.1, 2018-10-26 14:34:01, GET, /init/default/index, HTTP/1.1, 200, 0.074729
127.0.0.1, 2018-10-26 14:34:01, GET, /init/static/images/background.jpg, HTTP/1.1, 404, 0.001155
127.0.0.1, 2018-10-26 14:34:02, GET, /init/static/images/favicon.ico, HTTP/1.1, 200, 0.003071
127.0.0.1, 2018-10-26 14:34:58, GET, /init/default/index, HTTP/1.1, 200, 0.048865
127.0.0.1, 2018-10-26 14:34:58, GET, /init/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.012149
127.0.0.1, 2018-10-26 14:34:58, GET, /init/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.008196
127.0.0.1, 2018-10-26 14:34:58, GET, /init/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.011287
127.0.0.1, 2018-10-26 14:34:58, GET, /init/static/css/calendar.css, HTTP/1.1, 200, 0.005383
127.0.0.1, 2018-10-26 14:34:58, GET, /init/static/js/jquery.js, HTTP/1.1, 200, 0.005450
127.0.0.1, 2018-10-26 14:34:58, GET, /init/static/js/web2py.js, HTTP/1.1, 200, 0.004889
127.0.0.1, 2018-10-26 14:34:58, GET, /init/static/js/calendar.js, HTTP/1.1, 200, 0.013379
127.0.0.1, 2018-10-26 14:34:58, GET, /init/static/js/bootstrap.bundle.min.js, HTTP/1.1, 200, 0.005437
127.0.0.1, 2018-10-26 14:34:58, GET, /init/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.004558
127.0.0.1, 2018-10-26 14:34:58, GET, /init/static/images/background.jpg, HTTP/1.1, 404, 0.001093
127.0.0.1, 2018-10-26 14:34:58, GET, /init/static/images/favicon.ico, HTTP/1.1, 200, 0.001060
127.0.0.1, 2018-10-26 14:35:08, GET, /init/default/index, HTTP/1.1, 200, 0.037324
127.0.0.1, 2018-10-26 14:35:08, GET, /init/static/images/background.jpg, HTTP/1.1, 404, 0.000459
127.0.0.1, 2018-10-26 14:35:08, GET, /init/static/images/favicon.ico, HTTP/1.1, 200, 0.001458
127.0.0.1, 2018-10-26 14:35:35, GET, /admin/default/peek/init/controllers/default.py, HTTP/1.1, 200, 0.046420
127.0.0.1, 2018-10-26 14:35:35, GET, /favicon.ico, HTTP/1.1, 400, 0.000267
127.0.0.1, 2018-10-26 14:35:37, GET, /init/default/index, HTTP/1.1, 200, 0.034529
127.0.0.1, 2018-10-26 14:35:52, GET, /init/default/index, HTTP/1.1, 200, 0.042161
127.0.0.1, 2018-10-26 14:35:53, GET, /init/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.003480
127.0.0.1, 2018-10-26 14:35:53, GET, /init/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.004953
127.0.0.1, 2018-10-26 14:35:53, GET, /init/static/js/jquery.js, HTTP/1.1, 200, 0.006883
127.0.0.1, 2018-10-26 14:35:53, GET, /init/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.006860
127.0.0.1, 2018-10-26 14:35:53, GET, /init/static/css/calendar.css, HTTP/1.1, 200, 0.004814
127.0.0.1, 2018-10-26 14:35:53, GET, /init/static/js/calendar.js, HTTP/1.1, 200, 0.004772
127.0.0.1, 2018-10-26 14:35:53, GET, /init/static/js/bootstrap.bundle.min.js, HTTP/1.1, 200, 0.004371
127.0.0.1, 2018-10-26 14:35:53, GET, /init/static/js/web2py.js, HTTP/1.1, 200, 0.006484
127.0.0.1, 2018-10-26 14:35:53, GET, /init/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.002784
127.0.0.1, 2018-10-26 14:35:53, GET, /init/static/images/background.jpg, HTTP/1.1, 404, 0.000656
127.0.0.1, 2018-10-26 14:35:53, GET, /init/static/images/favicon.ico, HTTP/1.1, 200, 0.002389
127.0.0.1, 2018-10-26 14:36:12, GET, /init/default/index, HTTP/1.1, 200, 0.082407
127.0.0.1, 2018-10-26 14:36:12, GET, /init/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.007584
127.0.0.1, 2018-10-26 14:36:12, GET, /init/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.005301
127.0.0.1, 2018-10-26 14:36:12, GET, /init/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.019961
127.0.0.1, 2018-10-26 14:36:12, GET, /init/static/js/web2py.js, HTTP/1.1, 200, 0.008570
127.0.0.1, 2018-10-26 14:36:12, GET, /init/static/js/jquery.js, HTTP/1.1, 200, 0.020505
127.0.0.1, 2018-10-26 14:36:12, GET, /init/static/js/calendar.js, HTTP/1.1, 200, 0.005354
127.0.0.1, 2018-10-26 14:36:12, GET, /init/static/css/calendar.css, HTTP/1.1, 200, 0.010346
127.0.0.1, 2018-10-26 14:36:12, GET, /init/static/js/bootstrap.bundle.min.js, HTTP/1.1, 200, 0.005185
127.0.0.1, 2018-10-26 14:36:12, GET, /init/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.002735
127.0.0.1, 2018-10-26 14:36:12, GET, /init/static/images/background.jpg, HTTP/1.1, 404, 0.000624
127.0.0.1, 2018-10-26 14:36:12, GET, /init/static/images/favicon.ico, HTTP/1.1, 200, 0.001893
